"_time",bytes,"bytes_in","bytes_out","dest_ip","dest_port",packets,"packets_in","packets_out","src_ip"
"1495484804.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495484804.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495484799.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495484799.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495484799.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495484599.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495484599.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495484599.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495484598.000",10255,4641,5614,"10.11.168.180",445,50,23,27,"10.84.42.134"
"1495484598.000",6573,1823,4750,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495483822.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483822.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483822.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483818.000",10388,4704,5684,"10.11.168.180",445,52,24,28,"10.84.42.134"
"1495483469.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483469.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483466.000",9557,2770,6787,"10.11.168.9",445,31,13,18,"10.84.42.134"
"1495483424.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483424.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483423.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483423.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483423.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483413.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483413.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483413.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483315.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495483315.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495483315.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495483308.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495483298.000",7442,2346,5096,"10.11.168.9",445,26,11,15,"10.84.42.134"
"1495483158.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495482978.000",10118,4564,5554,"10.11.168.180",445,49,23,26,"10.84.42.134"
"1495482858.000",13916,6101,7815,"10.11.168.180",445,72,31,41,"10.84.42.134"
"1495482852.000",574,0,574,"136.98.100.1",445,8,0,8,"10.84.42.134"
"1495482852.000",574,0,574,"136.98.149.1",445,8,0,8,"10.84.42.134"
"1495482843.000",8010,2672,5338,"10.11.168.10",445,29,12,17,"10.84.42.134"
"1495482841.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495482841.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495482841.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495482618.000",10118,4564,5554,"10.11.168.180",445,49,23,26,"10.84.42.134"
"1495482558.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495503939.000",6473,1823,4650,"10.11.168.10",445,22,9,13,"10.84.42.134"
"1495503116.000",7565,2417,5148,"10.11.168.10",445,27,12,15,"10.84.42.134"
"1495491936.000",217034,113314,103720,"10.11.168.10",445,794,390,404,"10.84.42.134"
"1495491431.000",2134,1218,916,"10.83.22.26",445,17,7,10,"10.84.42.134"
"1495491431.000",282,142,140,"10.83.22.26",445,5,2,3,"10.84.42.134"
"1495490816.000",6531,1822,4709,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495490702.000",41797,27108,14689,"10.11.168.10",445,167,67,100,"10.84.42.134"
"1495490697.000",16773,7445,9328,"10.11.168.180",445,78,37,41,"10.84.42.134"
"1495490176.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495490176.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489999.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489999.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489999.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489998.000",6573,1823,4750,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495489991.000",216771,113257,103514,"10.11.168.10",445,790,389,401,"10.84.42.134"
"1495489560.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489560.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489560.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489559.000",2134,1218,916,"10.83.22.26",445,17,7,10,"10.84.42.134"
"1495489559.000",282,142,140,"10.83.22.26",445,5,2,3,"10.84.42.134"
"1495489557.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489557.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489557.000",2134,1218,916,"10.83.22.26",445,17,7,10,"10.84.42.134"
"1495489557.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489555.000",352,212,140,"10.83.22.26",445,6,3,3,"10.84.42.134"
"1495489554.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489554.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489554.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489549.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489549.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489549.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489548.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489548.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489548.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489509.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
