"_time",dest,host,user,Image,EventCode
"2017-03-27T16:46:09.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:46:09.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:46:09.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:46:00.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:46:00.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:45:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:45:54.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:40:11.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:40:11.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:40:11.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:40:11.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
"2017-03-27T16:40:11.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe",1
