"_time",host,service,"start_mode",status
"1515590030.888","host_9",wuauserv,Auto,Running
"1515590998.944","host_1",wuauserv,Manual,Running
"1515591006.022","host_8",wuauserv,Auto,Running
"1515591008.302","host_10",wuauserv,Auto,Running
"1515591527.874","host_15",wuauserv,Manual,Running
"1515591585.178","host_14",wuauserv,Auto,Running
"1515591689.433","host_3",wuauserv,Manual,Running
"1515591923.650","host_6",wuauserv,Manual,Stopped
"1515592642.599","host_13",wuauserv,Manual,Stopped
"1515593054.786","host_5",wuauserv,Manual,Stopped
"1515593271.496","host_7",wuauserv,Manual,Stopped
"1515593312.305","host_2",wuauserv,Manual,Running
"1515593631.381","host_9",wuauserv,Auto,Running
"1515594480.945","host_12",wuauserv,Manual,Running
"1515594497.203","host_11",wuauserv,Auto,Running
"1515594600.039","host_1",wuauserv,Manual,Running
"1515594606.648","host_8",wuauserv,Auto,Running
"1515594940.054","host_10",wuauserv,Auto,Running
"1515595128.365","host_15",wuauserv,Manual,Running
"1515595185.447","host_14",wuauserv,Auto,Running
"1515595806.225","host_3",wuauserv,Manual,Stopped
"1515596053.485","host_6",wuauserv,Manual,Stopped
"1515596663.164","host_5",wuauserv,Manual,Stopped
"1515596871.679","host_7",wuauserv,Manual,Running
"1515596914.452","host_2",wuauserv,Manual,Running
"1515597106.683","host_13",wuauserv,Manual,Stopped
"1515597231.603","host_9",wuauserv,Auto,Running
"1515598143.853","host_11",wuauserv,Auto,Running
"1515598200.399","host_1",wuauserv,Manual,Running
"1515598208.036","host_8",wuauserv,Auto,Running
"1515598540.351","host_10",wuauserv,Auto,Running
"1515598728.777","host_15",wuauserv,Manual,Running
"1515598785.670","host_14",wuauserv,Auto,Running
"1515599416.213","host_12",wuauserv,Manual,Stopped
"1515600035.396","host_3",wuauserv,Manual,Stopped
"1515600200.691","host_6",wuauserv,Manual,Running
"1515600266.913","host_5",wuauserv,Manual,Stopped
"1515600471.988","host_7",wuauserv,Manual,Stopped
"1515600514.708","host_2",wuauserv,Manual,Running
"1515600831.801","host_9",wuauserv,Auto,Running
"1515601315.203","host_13",wuauserv,Manual,Stopped
"1515601770.348","host_11",wuauserv,Auto,Running
"1515601801.040","host_1",wuauserv,Manual,Running
"1515601808.319","host_8",wuauserv,Auto,Running
"1515602140.593","host_10",wuauserv,Auto,Running
"1515602329.378","host_15",wuauserv,Manual,Running
"1515602385.915","host_14",wuauserv,Auto,Running
"1515603875.400","host_5",wuauserv,Manual,Stopped
"1515604072.391","host_7",wuauserv,Manual,Stopped
"1515604114.882","host_2",wuauserv,Manual,Running
"1515604156.333","host_12",wuauserv,Manual,Stopped
"1515604289.831","host_6",wuauserv,Manual,Stopped
"1515604432.382","host_9",wuauserv,Auto,Running
"1515605401.504","host_1",wuauserv,Manual,Running
"1515605409.049","host_8",wuauserv,Auto,Running
"1515605576.819","host_11",wuauserv,Auto,Running
"1515605930.056","host_15",wuauserv,Manual,Running
"1515605986.410","host_14",wuauserv,Auto,Running
"1515606197.261","host_13",wuauserv,Manual,Running
"1515606208.727","host_10",wuauserv,Auto,Running
"1515607307.504","host_3",wuauserv,Manual,Stopped
"1515607486.387","host_5",wuauserv,Manual,Stopped
"1515607674.543","host_7",wuauserv,Manual,Stopped
"1515607715.358","host_2",wuauserv,Manual,Running
