"File_Printed","Page_Count",User,"_time","anonymized_Printer"
"document_400",2,chuck,"1474250609.000","anon_Printer_7"
"document_401",4,chuck,"1474250630.000","anon_Printer_7"
"document_402",40,chuck,"1474250857.000","anon_Printer_9"
"document_403",2,chuck,"1474251267.000","anon_Printer_2"
"document_404",4,chuck,"1474251267.000","anon_Printer_2"
"document_203",4,chuck,"1474251267.000","anon_Printer_2"
"document_406",4,chuck,"1474251268.000","anon_Printer_2"
"document_407",4,chuck,"1474251268.000","anon_Printer_2"
"document_408",8,chuck,"1474251630.000","anon_Printer_9"
"document_409",1,chuck,"1474251912.000","anon_Printer_3"
"document_410",1,chuck,"1474251912.000","anon_Printer_3"
"document_411",1,chuck,"1474252027.000","anon_Printer_1"
"document_412",1,chuck,"1474252027.000","anon_Printer_1"
"document_4",2,chuck,"1474252028.000","anon_Printer_1"
"document_414",1,chuck,"1474252028.000","anon_Printer_1"
"document_4",2,chuck,"1474252028.000","anon_Printer_1"
"document_416",1,chuck,"1474252029.000","anon_Printer_1"
"document_417",1,chuck,"1474252029.000","anon_Printer_1"
"document_4",2,chuck,"1474252030.000","anon_Printer_1"
"document_419",3,chuck,"1474252030.000","anon_Printer_1"
"document_420",4,chuck,"1474252030.000","anon_Printer_1"
"document_421",1,chuck,"1474252030.000","anon_Printer_1"
"document_422",1,chuck,"1474252032.000","anon_Printer_1"
"document_423",1,chuck,"1474252032.000","anon_Printer_1"
"document_424",1,chuck,"1474252033.000","anon_Printer_1"
"document_425",1,chuck,"1474252033.000","anon_Printer_1"
"document_426",1,chuck,"1474252034.000","anon_Printer_1"
"document_427",1,chuck,"1474252034.000","anon_Printer_1"
"document_428",1,chuck,"1474252035.000","anon_Printer_1"
"document_429",1,chuck,"1474252035.000","anon_Printer_1"
"document_430",2,chuck,"1474252438.000","anon_Printer_7"
"document_216",6,chuck,"1474252449.000","anon_Printer_7"
"document_432",8,chuck,"1474252458.000","anon_Printer_8"
"document_433",33,chuck,"1474252474.000","anon_Printer_8"
"document_434",14,chuck,"1474252486.000","anon_Printer_8"
"document_435",4,chuck,"1474252534.000","anon_Printer_6"
"document_436",4,chuck,"1474252534.000","anon_Printer_6"
"document_437",19,chuck,"1474252717.000","anon_Printer_9"
"document_438",18,chuck,"1474252717.000","anon_Printer_9"
"document_439",14,chuck,"1474252862.000","anon_Printer_7"
"document_440",2,chuck,"1474252975.000","anon_Printer_2"
"document_221",2,chuck,"1474252975.000","anon_Printer_2"
"document_442",2,chuck,"1474253276.000","anon_Printer_6"
"document_443",2,chuck,"1474253276.000","anon_Printer_6"
"document_444",4,chuck,"1474253277.000","anon_Printer_6"
"document_445",6,chuck,"1474253277.000","anon_Printer_6"
"document_446",2,chuck,"1474253277.000","anon_Printer_6"
"document_447",4,chuck,"1474253570.000","anon_Printer_1"
"document_448",8,chuck,"1474253570.000","anon_Printer_1"
"document_449",2,chuck,"1474253570.000","anon_Printer_1"
"document_450",6,chuck,"1474253570.000","anon_Printer_1"
"document_451",3,chuck,"1474253629.000","anon_Printer_6"
"document_452",3,chuck,"1474253629.000","anon_Printer_6"
"document_453",2,chuck,"1474253631.000","anon_Printer_6"
"document_454",2,chuck,"1474253631.000","anon_Printer_6"
"document_455",5,chuck,"1474253665.000","anon_Printer_6"
"document_456",5,chuck,"1474253665.000","anon_Printer_6"
"document_457",5,chuck,"1474253667.000","anon_Printer_6"
"document_458",5,chuck,"1474253667.000","anon_Printer_6"
"document_459",12,chuck,"1474253731.000","anon_Printer_8"
"document_460",12,chuck,"1474253731.000","anon_Printer_8"
"document_461",21,chuck,"1474253750.000","anon_Printer_7"
"document_462",1,chuck,"1474253781.000","anon_Printer_6"
"document_463",1,chuck,"1474253781.000","anon_Printer_6"
"document_464",2,chuck,"1474253862.000","anon_Printer_2"
"document_465",2,chuck,"1474253862.000","anon_Printer_2"
"document_466",5,chuck,"1474253863.000","anon_Printer_2"
"document_467",5,chuck,"1474253863.000","anon_Printer_2"
"document_468",2,chuck,"1474253883.000","anon_Printer_4"
"document_469",1,chuck,"1474253883.000","anon_Printer_4"
"document_470",1,chuck,"1474253883.000","anon_Printer_4"
"document_471",3,chuck,"1474253884.000","anon_Printer_4"
"document_472",3,chuck,"1474253884.000","anon_Printer_4"
"document_473",2,chuck,"1474254100.000","anon_Printer_4"
"document_474",2,chuck,"1474254100.000","anon_Printer_4"
"document_475",1,chuck,"1474254196.000","anon_Printer_6"
"document_476",1,chuck,"1474254196.000","anon_Printer_6"
"document_477",1,chuck,"1474254197.000","anon_Printer_6"
"document_478",1,chuck,"1474254197.000","anon_Printer_6"
"document_479",1,chuck,"1474254317.000","anon_Printer_6"
"document_480",1,chuck,"1474254317.000","anon_Printer_6"
"document_481",1,chuck,"1474254336.000","anon_Printer_6"
"document_482",1,chuck,"1474254336.000","anon_Printer_6"
"document_483",1,chuck,"1474254360.000","anon_Printer_6"
"document_484",1,chuck,"1474254360.000","anon_Printer_6"
"document_485",1,chuck,"1474254647.000","anon_Printer_6"
"document_486",1,chuck,"1474254647.000","anon_Printer_6"
