EventCode,"_time",sourcetype,tag,user
4634,"1527633415.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527632392.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4768,"1527632392.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527629841.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527629834.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527627976.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527626233.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527626233.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527624098.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527623750.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527623656.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527623656.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527622848.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527622633.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527622626.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527622626.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527622560.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527622560.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527620285.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4634,"1527619023.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527619023.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527618962.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527618957.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527618957.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527618955.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527618948.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527609543.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527609049.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527608844.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527608585.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4634,"1527605885.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527605734.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527605733.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527605529.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527605219.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527604103.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527604103.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527604103.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527603725.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527602960.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527602222.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4634,"1527602122.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527602122.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527601611.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527600089.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527600089.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527598515.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527598263.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527598263.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527598010.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527598010.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527597942.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527597941.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527597941.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4768,"1527597267.000","WinEventLog:Security","authentication;os;security;windows",chuck
4768,"1527597267.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527596454.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527596454.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4648,"1527596164.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527594916.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527594916.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527594030.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527592398.000","WinEventLog:Security","authentication;os;security;windows",chuck
4768,"1527592037.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527591315.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527591313.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527591116.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527589684.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527589668.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527589622.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4634,"1527589204.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
