badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
1,"2018-03-05T10:35:30.264880Z",135,"2018-02-24T08:09:19.071962Z",user3226,"20170821200401.0Z"
0,"2018-03-12T17:28:41.399291Z",199,"2018-03-05T17:17:59.139593Z",user3229,"20170821195757.0Z"
0,"2018-03-08T17:40:11.523736Z",386,"2018-02-09T20:29:25.770587Z",user3233,"20170821135340.0Z"
0,"2018-03-15T20:02:01.959176Z",489,"2018-02-06T16:59:23.262597Z",user3252,"20170815190327.0Z"
,"2018-03-08T20:02:33.170402Z",373,"2018-02-09T18:46:12.611786Z",user3266,"20170812000315.0Z"
0,"2018-03-14T23:09:58.273864Z",112,"2018-01-31T23:20:35.502025Z",user3276,"20170811190321.0Z"
0,"2018-03-12T15:54:52.182598Z",68,"2018-02-05T18:10:59.191782Z",user3283,"20170810151748.0Z"
0,"2018-03-06T15:24:07.390500Z",125,"2018-02-09T15:41:15.011101Z",user3291,"20170809154012.0Z"
0,"2018-03-07T13:45:22.229226Z",221,"2018-01-29T18:54:30.617124Z",user3319,"20170803200336.0Z"
0,"2018-03-08T03:52:17.351704Z",119,"2018-01-05T09:07:59.359121Z",user3321,"20170803190523.0Z"
1,"2018-03-16T19:40:44.106295Z",106,"2018-02-11T17:52:48.045250Z",user3322,"20170803190523.0Z"
0,"2018-03-05T17:06:31.471615Z",176,"2017-12-28T20:43:56.210392Z",user3326,"20170803170012.0Z"
0,"2018-03-14T08:15:02.314695Z",773,"2018-01-08T07:17:56.122447Z",user3338,"20170727180343.0Z"
0,"2018-03-12T13:51:20.169417Z",101,"2018-01-23T14:02:05.410394Z",user3343,"20170727153216.0Z"
0,"2018-03-15T15:32:30.500150Z",139,"2018-03-03T00:02:57.125715Z",user3344,"20170727153207.0Z"
0,"2018-03-13T18:47:30.798859Z",697,"2018-01-23T17:06:15.075423Z",user3386,"20170719190330.0Z"
0,"2018-03-05T06:40:29.829421Z",97,"2018-01-05T13:52:34.702141Z",user3407,"20170718161426.0Z"
0,"2018-03-07T15:15:56.990499Z",11,"2018-01-11T23:21:31.511232Z",user3411,"20170717153438.0Z"
0,"2018-02-13T14:51:57.191212Z",44,"2017-12-18T13:34:25.724498Z",user3418,"20170713183223.0Z"
,"2017-07-11T18:10:57.777447Z",,"2017-07-11T17:58:52.376727Z",user3444,"20170711175852.0Z"
0,"2018-03-05T02:27:13.152226Z",8,"2018-03-05T02:27:12.349321Z",user3447,"20170710173856.0Z"
0,"2018-03-15T02:34:49.937377Z",220,"2018-03-06T06:16:10.970784Z",user3461,"20170628191810.0Z"
0,"2018-03-15T14:37:09.244556Z",6013,"2017-12-22T18:24:22.805318Z",user3462,"20170628190344.0Z"
0,"2018-03-07T18:41:53.697131Z",97,"2017-12-25T14:53:58.593522Z",user3464,"20170628153640.0Z"
0,"2018-03-13T02:56:09.799650Z",393,"2018-03-13T23:24:34.052596Z",user3475,"20170626230342.0Z"
0,"2018-03-15T02:33:39.062710Z",188,"2018-02-07T06:30:00.805264Z",user3490,"20170621000412.0Z"
0,"2018-03-09T14:52:26.174250Z",52,"2018-03-05T01:54:05.139187Z",user3498,"20170620202749.0Z"
0,"2018-03-06T01:20:26.800156Z",144,"2018-03-08T02:07:07.510255Z",user3506,"20170616082401.0Z"
0,"2017-10-20T20:01:59.157699Z",1,"2017-09-15T22:14:45.575751Z",user3520,"20170612175118.0Z"
0,"2018-02-22T20:13:28.108322Z",30,"2018-01-30T20:13:23.335525Z",user3524,"20170611091048.0Z"
,,,"2017-06-11T09:09:23.090517Z",user3525,"20170611090922.0Z"
1,"2018-03-14T15:46:31.359258Z",547,"2018-02-05T17:21:01.310466Z",user3552,"20170605170350.0Z"
0,"2018-03-08T16:56:22.251019Z",526,"2018-03-05T16:17:52.098402Z",user3570,"20170531220308.0Z"
