"USER_ID","USER_VIEWED","_time",country
0053300000B3319,"ANON_USER_2270","1488409476.173",USA
0053300000B3319,"ANON_USER_2270","1488409477.644",USA
00533000003KBBB,"ANON_USER_2748","1488409713.173",USA
00533000003KBBB,"ANON_USER_2748","1488409745.928",USA
0053300000B32B3,"ANON_USER_3293","1488410191.197",EMEA
0053300000B32B3,"ANON_USER_3293","1488410243.875",EMEA
0053300000B9233,"ANON_USER_2684","1488410345.327",USA
0054000000309K4,"ANON_USER_2973","1488410508.570",USA
0053300000B7132,"ANON_USER_1148","1488410531.432",APAC
0054000000B9B9J,"ANON_USER_2167","1488410668.787",USA
0054000000B9B9J,"ANON_USER_2167","1488410733.212",USA
0054000000B3193,"ANON_USER_1026","1488410890.462",APAC
0054000000B3033,"ANON_USER_2037","1488411079.825",EMEA
0053300000B9B0J,"ANON_USER_2973","1488411135.448",USA
0053300000B9B0J,"ANON_USER_2973","1488411138.916",USA
00540000003033K,"ANON_USER_2621","1488411520.123",USA
005400000030233,"ANON_USER_60","1488411582.183",APAC
0053300000B331B,"ANON_USER_3303","1488411599.221",USA
0053300000B9B14,"ANON_USER_2868","1488411664.605",USA
005400000030233,"ANON_USER_60","1488411699.453",APAC
0053300000B9B32,"ANON_USER_2787","1488411825.419",USA
0053300000B9B0J,"ANON_USER_325","1488411846.526",USA
0053300000B3319,"ANON_USER_325","1488412050.653",USA
005400000030777,"ANON_USER_685","1488412162.814",USA
00533000003K720,"ANON_USER_1380","1488412501.334",USA
0053300000B9B0J,"ANON_USER_2868","1488412739.609",USA
0053300000B9B0J,"ANON_USER_2868","1488412741.239",USA
0053300000B33K0,"ANON_USER_2772","1488445617.888",USA
005400000033323,"ANON_USER_2851","1488445668.049",EMEA
005400000033323,"ANON_USER_2851","1488445671.513",EMEA
005400000033323,"ANON_USER_2851","1488445678.827",EMEA
005400000033323,"ANON_USER_2851","1488445680.264",EMEA
0054000000BJB23,"ANON_USER_642","1488445759.695",USA
0054000000BJB23,"ANON_USER_642","1488445990.834",USA
0053300000B0019,"ANON_USER_1486","1488446317.139",APAC
0054000000BJB99,"ANON_USER_2701","1488446800.226",USA
0054000000BJB99,"ANON_USER_2701","1488446946.213",USA
0054000000BJB99,"ANON_USER_2701","1488447009.210",USA
0053300000B7539,"ANON_USER_1600","1488447222.726",EMEA
005330000073215,"ANON_USER_1430","1488447259.893",USA
0053300000B7533,"ANON_USER_874","1488447515.634",EMEA
005330000039943,"ANON_USER_778","1488447837.600",USA
0053300000B3K7B,"ANON_USER_2751","1488447899.012",USA
0053300000B3310,"ANON_USER_206","1488450807.758",USA
0053300000B3310,"ANON_USER_626","1488450838.782",USA
0054000000B2934,"ANON_USER_1401","1488451008.906",USA
005330000073337,"ANON_USER_1401","1488451013.199",USA
