"_time",count,EventCode,Keywords,"Logon_Process","Logon_Type","Logon_Type_Description",RecordNumber,Type,dest,user
"1477305509.000",,4624,"Audit Success",Advapi,2,Interactive,2770952762,Information,"host_5","user_3"
"1477305511.000",,4624,"Audit Success",User32,10,RemoteInteractive,2770952801,Information,"host_5","user_97"
"1477307997.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527074,Information,"host_1","user_39"
"1477318520.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527110,Information,"host_1","user_66"
"1477324622.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527131,Information,"host_1","user_16"
"1477325680.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527141,Information,"host_1","user_133"
"1477326062.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527146,Information,"host_1","user_112"
"1477326437.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527150,Information,"host_1","user_70"
"1477328195.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527160,Information,"host_1","user_106"
"1477328939.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527163,Information,"host_1","user_66"
"1477328942.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527166,Information,"host_1","user_52"
"1477329163.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527174,Information,"host_1","user_146"
"1477329625.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527182,Information,"host_1","user_114"
"1477329895.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527186,Information,"host_1","user_86"
"1477330422.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527191,Information,"host_1","user_51"
"1477330430.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527196,Information,"host_1","user_104"
"1477330510.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527202,Information,"host_1","user_114"
"1477331084.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527210,Information,"host_1","user_82"
"1477331208.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527217,Information,"host_1","user_16"
"1477331651.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527234,Information,"host_1","user_86"
"1477332209.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527246,Information,"host_1","user_122"
"1477332302.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527254,Information,"host_1","user_51"
"1477332400.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527262,Information,"host_1","user_51"
"1477335118.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527296,Information,"host_1","user_51"
"1477335632.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527307,Information,"host_1","user_12"
"1477335752.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527315,Information,"host_1","user_106"
"1477336200.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527320,Information,"host_1","user_100"
"1477336326.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527325,Information,"host_1","user_146"
"1477337458.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527345,Information,"host_1","user_51"
"1477338901.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527353,Information,"host_1","user_16"
"1477340154.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527372,Information,"host_1","user_52"
"1477340409.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527377,Information,"host_1","user_146"
