"_time",app,bytes,"bytes_in","bytes_out","src_ip","dest_ip","dest_port",packets,"packets_in","packets_out",duration,first
"2016-11-02T12:20:22.000-0700",ping,228,114,114,"10.11.168.28","185.51.118.52",0,2,1,1,0,185
"2016-11-02T12:20:04.000-0700",ping,200,98,102,"10.83.32.132","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:18:22.000-0700",ping,200,98,102,"10.83.32.32","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:18:15.000-0700",ping,200,98,102,"10.83.32.125","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:18:13.000-0700",ping,200,98,102,"10.83.160.135","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:18:10.000-0700",ping,204,102,102,"10.83.36.174","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:18:08.000-0700",ping,204,102,102,"10.83.32.2","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:18:07.000-0700",ping,204,102,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:18:04.000-0700",ping,200,98,102,"10.83.160.15","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:16:16.000-0700",ping,200,98,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:16:09.000-0700",ping,200,98,102,"10.83.32.123","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:14:22.000-0700",ping,200,98,102,"10.83.160.128","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:14:18.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:14:04.000-0700",ping,200,98,102,"10.83.36.174","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:14:01.000-0700",ping,200,98,102,"10.83.36.186","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:13:58.000-0700",ping,200,98,102,"10.83.36.94","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:13:51.000-0700",ping,200,98,102,"10.83.32.59","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:13:45.000-0700",ping,200,98,102,"10.83.36.86","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:12:26.000-0700",ping,228,114,114,"10.11.168.28","189.125.4.192",0,2,1,1,0,189
"2016-11-02T12:12:25.000-0700",ping,204,102,102,"10.83.160.55","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:12:25.000-0700",ping,204,102,102,"10.83.160.173","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:07:00.000-0700",ping,200,98,102,"10.83.160.30","60.52.65.114",0,2,1,1,0,60
