"Account_Domain","Account_Name","Authentication_Package",EventCode,"Key_Length","Logon_Process","Logon_Type","New_Logon_Security_ID","Subject_Security_ID",Type,"_time"
SUBSIDIARY1,"kiokinh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kiokinh_jnkmcac","NULL SID",Information,"1456901993.000"
SUBSIDIARY1,"fkjhpfb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fkjhpfb_jnkmcac","NULL SID",Information,"1456902001.000"
MYDOMAIN,"fnf_pem",NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\fnf_pem","NULL SID",Information,"1456902073.000"
SUBSIDIARY1,"fbdd_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fbdd_jnkmcac","NULL SID",Information,"1456902228.000"
SUBSIDIARY1,"pqhebjhp_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\pqhebjhp_jnkmcac","NULL SID",Information,"1456902244.000"
SUBSIDIARY1,"lhmqnobh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\lhmqnobh_jnkmcac","NULL SID",Information,"1456902302.000"
SUBSIDIARY1,"kiokinh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kiokinh_jnkmcac","NULL SID",Information,"1456902328.000"
SUBSIDIARY1,"dhmammlf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\dhmammlf_jnkmcac","NULL SID",Information,"1456902460.000"
SUBSIDIARY1,"kbikdo_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kbikdo_jnkmcac","NULL SID",Information,"1456902551.000"
SUBSIDIARY1,"ccjaqimk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ccjaqimk_jnkmcac","NULL SID",Information,"1456902642.000"
SUBSIDIARY1,"djcfdnd_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\djcfdnd_jnkmcac","NULL SID",Information,"1456902784.000"
SUBSIDIARY1,"bhmdapl_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bhmdapl_jnkmcac","NULL SID",Information,"1456902787.000"
SUBSIDIARY1,"oflil_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oflil_jnkmcac","NULL SID",Information,"1456902817.000"
SUBSIDIARY1,"kdpmdimk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kdpmdimk_jnkmcac","NULL SID",Information,"1456902942.000"
SUBSIDIARY1,"innhchdah_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\innhchdah_jnkmcac","NULL SID",Information,"1456902943.000"
SUBSIDIARY1,"dhhbm_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\dhhbm_jnkmcac","NULL SID",Information,"1456902954.000"
SUBSIDIARY1,"jbidne_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\jbidne_jnkmcac","NULL SID",Information,"1456902961.000"
SUBSIDIARY1,"ddkbda_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ddkbda_jnkmcac","NULL SID",Information,"1456903104.000"
SUBSIDIARY1,"bmdean_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bmdean_jnkmcac","NULL SID",Information,"1456903114.000"
SUBSIDIARY1,"kpjp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kpjp_jnkmcac","NULL SID",Information,"1456903121.000"
SUBSIDIARY1,"joijbeen-hk-f",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARYf\joijbeen-hk-1","NULL SID",Information,"1456903234.000"
